job_title,location,date,rating,review_title,pros,cons
Current Employee - Team Member,"Cheadle, West Midlands, England",14 December 2019,5.0,"""Great job""","Great staff, good communication with the maneger","Less salary, some of the staff are stealing"
Current Employee - Team Leader,"London, England",16 June 2020,4.0,"""They seem fine""","- part time work; so very flexible
- alright pay
- Owners seems to care about workers especially during this whole COVID situation",- None yet so far
Former Employee - Team Member,,21 June 2020,2.0,"""Team Member""",Pay was reasonable and I got a lot of hours.,"Cafe was badly organised, very understaffed and therefore there was a very stressful working environment."
Former Employee - Section Leader,"London, England",26 May 2020,3.0,"""Great staff discount""","Good staff discount , work in interesting places","Pay is terrible, minimum wage"
Former Employee - Barista,,8 May 2020,4.0,"""Barista""","Flexible zero hour contract, good pay, good training","management don't help on floor much, poor organisation"
Former Employee - Catering Assistant,"London, England",22 May 2020,2.0,"""Staff come last""",Good quality food on shift,"- Management can be overly strict and do not care about the staff, one person fainted on a shift i was on she was still asked to stay on and work until dinner was served and wouldn't let any of the other staff look after her because we were 'too busy'
- Have seen and been on the receiving end of managers verbally abusing staff"
Current Employee - Team Member,,12 May 2020,1.0,"""Sick""",Literally there were like None,Literally could not find anything
Current Employee - Anonymous Employee,,5 February 2020,4.0,"""Team member""",Good place to work,Stress jaisnsi dieno anais wish
Current Employee - Team Member,"London, England",3 February 2020,4.0,"""Good environment""",They hire really great people who are willing to help,Can be understaffed and working extra hours is expected
Former Employee - General Manager,"London, England",21 January 2020,3.0,"""Freedom to make it your own business""","Trading hours, normally not late evenings, neither weekends, depending on location.","Unfair payments for manager across the business, despite the same mole of work."
Former Employee - Team Member,"Edinburgh, Scotland",29 January 2020,2.0,"""Employee dissatisfaction""","Good hourly rate (Scotland national wage), offered a lot of working hours, which was good if needed more income.","Poor organisation on management’s part. There was a lack of efficient communication between managers themselves. 
They seemed reluctant to give honest feedback to employees who were not up to standard, leading to a toxic environment of gossip and passive aggressive bullying. There was a high staff turnover rate, including in managerial roles.

New-starts were often thrown into service without proper training or induction. 
Employee well-being was not always a priority. Was often encouraged to take breaks at the end of shifts, regardless of how long we had worked. 

Customer satisfaction was emphasised in official training but the daily focus was always to increase customer turnover and make as much money as possible. BOH couldn’t keep up with the speed and volume. Customers often complained or gave up waiting."
Former Employee - Corporate Staff - Manager,,23 January 2020,2.0,"""Not worth it""","50% discount, nice colleagues and free coffee",Management doesn’t care about the people who work for them
Current Employee - Corporate Paralegal,"London, England",14 January 2020,2.0,"""Not stressful but hard working""",The job let me meet mostly seasonal students (like me) from many European countries,"Not a clear timetable, few tips, stressful when crowded"
Current Employee - Section Leader,,25 December 2019,3.0,"""Ok if you’re a student or there short time""",Free food and drinks during shifts,"Lots of favouritism , no fixed weekly hours"
Current Employee - Anonymous Employee,,9 December 2019,3.0,"""Benugo barista""",Good fun people to work with,"Little organisation 
Not great staff treatment"
Former Employee - Wait Staff,,6 December 2019,4.0,"""Pretty good workplace""",Great oppertunity to earn money over the summer,Very hard work at times but the people were lovely
Former Employee - Cashier/Barista,"London, England",3 December 2019,4.0,"""Good as a part-time job""","Free coffee, food discounts and flexible hours","uneven pay across venues, extremely short break even on 10-12 hours shifts or they would send you very very early or super late."
Current Employee - Team Member,,12 November 2019,4.0,"""Good place""","Weekly pay, friendly team",Always having to ask for hours on a full time contract
Former Employee - Cashier/Barista,"London, England",31 October 2019,4.0,"""Not great""","- Decent pay
- Free lunch","- Worked extremely hard
- Poor training"
Current Employee - Team Member,"London, England",13 October 2019,3.0,"""Fine""",Good shift and they give you food everyday,Low pay and sometimes you need to clean a lot
Current Employee - Team Leader,"London, England",19 October 2019,2.0,"""management is bad""","nice colleagues, free hot drinks, 50% discount in all benugo sites",I can only say management is the worst  in this company. (at least in the site I'm currently working for)
Former Employee - Anonymous Employee,,23 September 2019,4.0,"""Barista""","Friendly Staff, Free Food, Good Pay",Mangement are lazy and we were often understaffed on busy days
Former Employee - Account Manager,,11 September 2019,4.0,"""Great opportunities for progression""","Amazing venues 
Great people
Career growth",High pressure at all times
Current Employee - Manager,"Norwich, England",27 August 2019,5.0,"""Progression!""","quick progression, 50% discount, reward cards for management",amount of sites outside of london limited
Current Employee - Anonymous Employee,,16 August 2019,3.0,"""I’be been working for Benugo for two years already.""",Amazing people and area I’m working in.,Management is always busy and it’s really hard to catch them.
Former Employee - Team Leader,"Oxford, England",11 August 2019,4.0,"""Flexible hours and friendly co-workers""","Flexible hours, friendly co-workers",Strict dress code and stressed management
Current Employee - Barista,"London, England",5 August 2019,3.0,"""The best of the worst""","Good shifts, decent salary, good life- work balance","Long hours, aweful customers, no paid break"
Current Employee - Manager,"Swindon, Wiltshire, South West England, England",26 July 2019,5.0,"""Great company""","Run the store as if your own business, great team work and accountability.
Based in an office so Mon-Fri and pays well.",London based so if outside London opportunities to progress few and far between.
Former Employee - Waitress,,20 July 2019,2.0,"""Not great, worked there for a year and decided I'd rather be unemployed until I found a better job""",50% of food and free coffee across branches,"Very inflexible management structure: after working non-stop, everyday for months a colleague asked for a week holiday at christmas to go home (outside of London) and was told no and so if they wanted time off they may as well resign; when applying for a job recently I tried to explain that for now I wasn't available weekends due to family reasons but was immediately told to look for a job elsewhere without being allowed to explain because in fact I would be available once again after a few weeks, had they let me explain the situation.
Basically they would rather no staff or have to find new staff instead of allowing current staff some leeway or flexibility.
We did a lot of work with minimal breaks for not even the London living wage, consiering that all main Benugo branches are in Central London. 
Management is usually not very organised themselves. 
When using any staff discounts, they seem very annoyed, as if you are all not part of the same workforce and putting in lots of energy into the job and don't deserve a break, even though we are entitled to it.
I was also told I could not move up in position because despite recommendation from other colleagues, the main boss didn't want to promote me because he said I was too 'outspoken', as if that's a bad thing. 
I started at 20 hours a week and was eventually pressured into increasing it to 30 hours, despite also being a full time student, because everyone kept quitting because working here is not the best and they couldn't find enough new people to replace them."
Current Employee - Team Member,"Wigmore, England",1 July 2019,3.0,"""Allow for more opportunities""",You pick up a lot of skills quickly and the people are friendly.,It's hard to get more opportunities in the company for example becoming a barista is going to take forever because they do not want to pay for your training.
Former Employee - Team Member,"London, England",18 June 2019,4.0,"""Pretty decent job""","Loads hours to work
Easy to progress
Pay","Short breaks
Work load (a lot of pressure)"
Current Employee - Barista,"Aberdeen, Scotland",12 July 2019,1.0,"""Turn around and run away as fast as you can""","Free food and drink, and national living wage for all ages","Wow, where to begin. Treated like slaves, blamed for everything, they expect the world of you, unpaid 30 minute break on a 10 hour shift. MINIMAL staff so you’re working for as many as 3 or 4 people at a time and getting ZERO appreciation for it, and paid peanuts. Unqualified managers, NO training, don’t even dare think about asking to take your entitled holiday pay or even get genuinely sick. Head office either have no clue wtf is going on at these sites or just don’t care. The list is intimate. Just don’t bother."
Former Employee - Barista,"Greenwich, England",8 June 2019,5.0,"""Loved It""","The managers were lovely, fun to work at, the cafe itself was really pretty, free food and coffee on shift plus free coffee at all benugo locations. They send you up to head office for coffee training with some really nice and knowledgeable baristas which is fun even though it takes a while. Lots of opportunities for career progression.","I'd tell the managers that people never bought some foods and that they didn't ever sell out and we'd just keep throwing them away but apparently head office wanted us to sell them so they couldn't do anything about it. The amount of food wastage we had made me uncomfortable, especially when I knew that something like a chocolate cake would sell more than these horrible vegan muffins."
